domain,agency,result,robots_txt,plain_fetch_status,plain_fetch_host,block_style,headless_browser,lighthouse,platform,server_header,cloudflare,last_audit
erie.gov,"Erie County, NY",open,allowed,200,bare,,ok or not needed,ok,,nginx,,2026-09-11
niagaracounty.gov,"Niagara County, NY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
co.strafford.nh.us,"Strafford County, NH",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-19
orleanscountyny.gov,"Orleans County, NY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
rockinghamcountynh.org,"Rockingham County, NH",open,allowed,200,bare,,ok or not needed,ok,,Apache,,2026-08-19
essexcountyvermont.gov,"Essex County, VT",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
geneseeny.gov,"Genesee County, NY",open,allowed,200,www,,ok or not needed,ok,,,,2026-08-18
cattco.gov,"Cattaraugus County, NY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
clintoncountyny.gov,"Clinton County, NY",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
essexcountyny.gov,"Essex County, NY",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-09-11
franklincountyny.gov,"Franklin County, NY",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
stlawco.gov,"Saint Lawrence County, NY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
hamiltoncountyny.gov,"Hamilton County, NY",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
warrencountyny.gov,"Warren County, NY",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
essexma.org,"Essex County, MA",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
hayscountytx.gov,"Hays County, TX",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
comalcounty.gov,"Comal County, TX",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-11
blancocountytexas.gov,"Blanco County, TX",open,allowed,200,www,,ok or not needed,ok,,,,2026-09-09
traviscountytx.gov,"Travis County, TX",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-08-26
co.caldwell.tx.us,"Caldwell County, TX",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-19
guadalupetx.gov,"Guadalupe County, TX",open,allowed,200,bare,,ok or not needed,ok,,,,2026-09-12
bexar.org,"Bexar County, TX",open,allowed,200,bare,,ok or not needed,ok,,cloudflare,yes,2026-08-18
kendallcountytx.gov,"Kendall County, TX",open,allowed,200,bare,,ok or not needed,ok,,,,2026-08-18
warrencountyohio.gov,"Warren County, OH",open,allowed,200,www,,ok or not needed,ok,,cloudflare,yes,2026-09-09
clermontcountyohio.gov,"Clermont County, OH",open,allowed,200,bare,,ok or not needed,ok,,Microsoft-IIS,,2026-08-18
